ID,Taxon,Family,WIn,FMo_Average
182,Pseudophilotes_fatma,Lycaenidae,-0.051,2.5
183,Pseudophilotes_barbagiae,Lycaenidae,-0.066,4
184,Pseudophilotes_abencerragus,Lycaenidae,-0.070,2
185,Pseudophilotes_panoptes,Lycaenidae,-0.066,6
186,Pseudophilotes_vicrama,Lycaenidae,-0.062,5
187,Pseudophilotes_baton,Lycaenidae,-0.061,5
188,Scolitantides_orion,Lycaenidae,-0.039,5
189,Praephilotes_anthracias,Lycaenidae,-0.050164523,2
190,Iolana_iolas,Lycaenidae,0.001,4
191,Iolana_debilitata,Lycaenidae,-0.008,5
192,Glaucopsyche_melanops,Lycaenidae,-0.046,2
193,Glaucopsyche_paphos,Lycaenidae,-0.053,2
194,Glaucopsyche_alexis,Lycaenidae,-0.036,5
195,Zizeeria_knysna,Lycaenidae,-0.063,9
196,Zizeeria_karsandra,Lycaenidae,-0.060,9
197,Tongeia_fischeri,Lycaenidae,-0.059,4
198,Cupido_argiades,Lycaenidae,-0.046,6
199,Cupido_decoloratus,Lycaenidae,-0.051,5
200,Cupido_alcetas,Lycaenidae,-0.041,7
201,Cupido_osiris,Lycaenidae,-0.048,6
202,Cupido_minimus,Lycaenidae,-0.062,6
203,Cupido_minimus_carswelli,Lycaenidae,-0.061,3
204,Cupido_lorquinii,Lycaenidae,-0.059,3
205,Luthrodes_galba,Lycaenidae,-0.068,9
206,Freyeria_trochylus,Lycaenidae,-0.072,8
207,Plebejus_argus,Lycaenidae,-0.049,4
208,Plebejus_idas,Lycaenidae,-0.046,5
209,Plebejus_bellieri,Lycaenidae,-0.048,3
210,Plebejus_martini,Lycaenidae,-0.038,1.5
211,Plebejus_allardi,Lycaenidae,-0.040,3
212,Plebejus_vogelii,Lycaenidae,-0.049,5
213,Plebejus_argyrognomon,Lycaenidae,-0.034,4
214,Agriades_orbitulus,Lycaenidae,-0.050,3
215,Agriades_optilete,Lycaenidae,-0.046,3
216,Agriades_pyrenaicus,Lycaenidae,-0.047,3
217,Agriades_dardanus,Lycaenidae,-0.057,4
218,Agriades_zullichi,Lycaenidae,-0.060,3
219,Agriades_glandon,Lycaenidae,-0.049,2
220,Agriades_aquilo,Lycaenidae,-0.061,3
221,Plebejidea_loewii,Lycaenidae,-0.036,3.5
222,Eumedonia_eumedon,Lycaenidae,-0.037,4
223,Kretania_psylorita,Lycaenidae,-0.055,2
224,Kretania_hesperica,Lycaenidae,-0.038,4
225,Kretania_eurypilus,Lycaenidae,-0.034,2
226,Kretania_trappi,Lycaenidae,-0.033,3
227,Kretania_sephirus,Lycaenidae,-0.033,4
228,Kretania_pylaon,Lycaenidae,-0.042,2
229,Cyaniris_semiargus,Lycaenidae,-0.038,6
230,Glabroculus_cyane,Lycaenidae,-0.035,2.5
231,Aricia_morronensis,Lycaenidae,-0.042,4
232,Aricia_anteros,Lycaenidae,-0.037,5
233,Aricia_cramera,Lycaenidae,-0.054,9.5
234,Aricia_nicias,Lycaenidae,-0.053,2
235,Aricia_artaxerxes,Lycaenidae,-0.049,4
236,Aricia_montensis,Lycaenidae,-0.042,4
237,Aricia_agestis,Lycaenidae,-0.048,7
238,Lysandra_hispana,Lycaenidae,-0.023,7
239,Lysandra_corydonius,Lycaenidae,-0.021,3
240,Lysandra_bellargus,Lycaenidae,-0.031,7
241,Lysandra_punctifera,Lycaenidae,-0.030,5.5
242,Lysandra_coridon,Lycaenidae,-0.026,3
243,Lysandra_caelestissima,Lycaenidae,-0.029634904,2
244,Lysandra_albicans,Lycaenidae,-0.012,3
245,Neolysandra_coelestina,Lycaenidae,-0.049,2
246,Polyommatus_escheri,Lycaenidae,-0.029,3
247,Polyommatus_thersites,Lycaenidae,-0.040,7
248,Polyommatus_daphnis,Lycaenidae,-0.015,3
249,Polyommatus_amandus,Lycaenidae,-0.022,3
250,Polyommatus_golgus,Lycaenidae,-0.044,2
251,Polyommatus_atlanticus,Lycaenidae,-0.035,4
252,Polyommatus_nivescens,Lycaenidae,-0.030,4
253,Polyommatus_dorylas,Lycaenidae,-0.028,4
254,Polyommatus_celina,Lycaenidae,-0.040,11
255,Polyommatus_icarus,Lycaenidae,-0.035,7
256,Polyommatus_icarus_andronicus,Lycaenidae,-0.036,2
257,Polyommatus_eros,Lycaenidae,-0.040,3
258,Polyommatus_damon,Lycaenidae,-0.033,2
259,Polyommatus_damone,Lycaenidae,-0.037,4
260,Polyommatus_damocles,Lycaenidae,-0.033,2.5
261,Polyommatus_admetus,Lycaenidae,-0.025,3
262,Polyommatus_ripartii,Lycaenidae,-0.033,4
263,Polyommatus_nephohiptamenos,Lycaenidae,-0.035,2
264,Polyommatus_iphigenia,Lycaenidae,-0.032,2.5
265,Polyommatus_violetae,Lycaenidae,-0.034,2
266,Polyommatus_fulgens,Lycaenidae,-0.032,2
267,Polyommatus_fabressei,Lycaenidae,-0.033,3
268,Polyommatus_dolus,Lycaenidae,-0.020,2
269,Polyommatus_dolus_virgilius,Lycaenidae,-0.025,2
270,Polyommatus_humedasae,Lycaenidae,-0.028,2
271,Polyommatus_orphicus,Lycaenidae,-0.028,4
272,Polyommatus_aroaniensis,Lycaenidae,-0.034,3
273,Polyommatus_timfristos,Lycaenidae,-0.026375364,1
274,Neptis_sappho,Nymphalidae,0.036,4.5
275,Neptis_rivularis,Nymphalidae,0.041,3.5
276,Limenitis_reducta,Nymphalidae,0.037,5
277,Limenitis_populi,Nymphalidae,0.115,2.5
278,Limenitis_camilla,Nymphalidae,0.064,3
279,Issoria_lathonia,Nymphalidae,0.011,7
280,Issoria_eugenia,Nymphalidae,0.001821696,2.5
281,Brenthis_hecate,Nymphalidae,0.002,3
282,Brenthis_ino,Nymphalidae,-0.008,2.5
283,Brenthis_daphne,Nymphalidae,0.023,3.5
284,Argynnis_paphia,Nymphalidae,0.094,3.5
285,Argynnis_pandora,Nymphalidae,0.109,5
286,Argynnis_laodice,Nymphalidae,0.058,2
287,Speyeria_aglaja,Nymphalidae,0.057,3.5
288,Fabriciana_elisa,Nymphalidae,0.030,3
289,Fabriciana_niobe,Nymphalidae,0.036,2.5
290,Fabriciana_adippe,Nymphalidae,0.051,3.5
